Ectopic_Pregnancy	Ectopic Pregnancy (PEDS)	Abnormal_Pregnancy
Hemangioma_of_the_Skin	Hemangioma of Skin (NRNT)	Hemangioma
Angiomatosis	Multiple Hemangiomas (NRNT)	Hemangioma
Anemia	Anemia (NRNT)	Hematologic_Disorder
Coagulation_Disorder	Coagulation Defect (NRNT)	Hematologic_Disorder
Myeloproliferation	Disorder of Hematopoietic Cell Proliferation (NRNT)	Hematologic_Disorder
Hematopoietic_System_Disorder	Disorder of Hematopoietic Structure (NRNT)	Hematologic_Disorder
Infarction	Infarct (NRNT)	Hematologic_Disorder
Thrombocytopenia	Thrombocytopenia (PEDS+NRNT)	Hematologic_Disorder
Thrombocytosis	Thrombocytosis (NRNT)	Hematologic_Disorder
Excessive_Blood_Clotting	Thrombophilia (PEDS+NRNT)	Hematologic_Disorder
Blood_Chemistry_Study	Blood Test (PEDS)	Hematologic_Technique
Leukemia	Leukemia, Disease (NRNT)	Hematopoietic_Cell_Neoplasm
Elliptocytosis	Elliptocytosis (NRNT)	Hematopoietic_System_Disorder
Ovalocytosis	Ovalocytosis (NRNT)	Hematopoietic_System_Disorder
Spherocytosis	Spherocytosis (NRNT)	Hematopoietic_System_Disorder
Hemoglobin_A_Measurement	Hemoglobin A Measurement (NRNT)	Hemoglobin_Measurement
Hemoglobin_A_to_Total_Hemoglobin_Ratio_Measurement	Hemoglobin A to Total Hemoglobin Ratio Measurement (PEDS)	Hemoglobin_Measurement
Hemoglobin_A2_Measurement	Hemoglobin A2 Measurement (NRNT)	Hemoglobin_Measurement
Hemoglobin_A2_to_Total_Hemoglobin_Ratio_Measurement	Hemoglobin A2 to Total Hemoglobin Ratio Measurement (PEDS)	Hemoglobin_Measurement
Hemoglobin_C_to_Total_Hemoglobin_Ratio_Measurement	Hemoglobin C to Total Hemoglobin Ratio Measurement (PEDS)	Hemoglobin_Measurement
Hemoglobin_S_to_Total_Hemoglobin_Ratio_Measurement	Hemoglobin S to Total Hemoglobin Ratio Measurement (PEDS+NRNT)	Hemoglobin_Measurement
Hemoglobin_C_Measurement	Measurement of Hemoglobin C (NRNT)	Hemoglobin_Measurement
Hemoglobin_C_Disease	Hemoglobin C Disease (PEDS+NRNT)	Hemoglobinopathy
Hemolytic_Disease_of_the_Newborn	Hemolytic Disease of the Newborn (PEDS)	Hemoglobinopathy
Sickle_Cell_Disease	Sickle Cell Disease (PEDS+NRNT)	Hemoglobinopathy
Thalassemia	Thalassemia (NRNT)	Hemoglobinopathy
Hemolytic_Anemia_due_to_Membrane_Defect	Anemia due to Membrane Defect (NRNT)	Hemolytic_Anemia
Hemolytic_Disease_of_the_Fetus_or_Newborn	Hemolytic Disease due to ABO Isoimmunization (NRNT)	Hemolytic_Anemia
Hemophilia_A	Factor VIII Deficiency (NRNT)	Hemophilia
Hemophilia_B	Hereditary Factor IX Deficiency Disease (NRNT)	Hemophilia
Factor_XI_Deficiency	Hereditary Factor XI Deficiency Disease (NRNT)	Hemophilia
Adrenal_Hemorrhage	Adrenal Hemorrhage (NRNT)	Hemorrhage
Gastrointestinal_Hemorrhage	Gastrointestinal Hemorrhage (NRNT)	Hemorrhage
Intracranial_Hemorrhage	Intracranial Hemorrhage (NRNT)	Hemorrhage
Intraventricular_Brain_Hemorrhage	Intraventricular Hemorrhage (PEDS)	Hemorrhage
Postpartum_Hemorrhage	Postpartum Hemorrhage (PEDS)	Hemorrhage
Pulmonary_Hemorrhage	Pulmonary Hemorrhage (NRNT)	Hemorrhage
Hereditary_Factor_I_Deficiency	Hereditary Factor I Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Factor_II_Deficiency	Hereditary Factor II Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Hemophilia_B	Hereditary Factor IX Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Factor_V_Deficiency	Hereditary Factor V Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Hereditary_Factor_VII_Deficiency	Hereditary Factor VII Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Hereditary_Factor_X_Deficiency	Hereditary Factor X Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Factor_XI_Deficiency	Hereditary Factor XI Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Factor_XII_Deficiency	Hereditary Factor XII Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Hereditary_Factor_XIII_Deficiency	Hereditary Factor XIII Deficiency Disease (NRNT)	Hereditary_Coagulation_Factor_Deficiency
Marfan_s_Syndrome	Marfan's Syndrome (NRNT)	Hereditary_Connective_Tissue_Disorder
Menkes_Disease	Menkes Kinky-Hair Syndrome (NRNT)	Hereditary_Connective_Tissue_Disorder
COL1A1_Associated_Connective_Tissue_Disorder	Metabolic Disease of Collagen (NRNT)	Hereditary_Connective_Tissue_Disorder
Thrombocytopenia-Absent_Radius_Syndrome	Radial Aplasia-Thrombocytopenia Syndrome (NRNT)	Hereditary_Connective_Tissue_Disorder
Rhizomelic_Chondrodysplasia_Punctata	Rhizomelic Chondrodysplasia Punctata Syndrome (NRNT)	Hereditary_Connective_Tissue_Disorder
Diaphragmatic_Hernia	Diaphragmatic Hernia (PEDS)	Hernia
Abdomial_Hernia	Hernia of Abdominal Wall (NRNT)	Hernia
Inguinal_Hernia	Inguinal Hernia (NRNT)	Hernia
Heterotaxy_Syndrome_with_Asplenia	Heterotaxy, Asplenia (NRNT)	Heterotaxia
Heterotaxy_Syndrome_with_Polyspenia	Heterotaxy, Polysplenia (NRNT)	Heterotaxia
Thyrotropin_Measurement	Thyrotropin Measurement (PEDS+NRNT)	Hormone_Measurement
Total_Thyroxine_Measurement	Total Thyroxine Measurement (PEDS)	Hormone_Measurement
Human_Papillomavirus-16	Human Papillomavirus-16 (PEDS)	Human_Papillomavirus
Human_Papillomavirus-18	Human Papillomavirus-18 (PEDS)	Human_Papillomavirus
Acquired_Hydrocephalus	Acquired Hydrocephalus (NRNT)	Hydrocephalus
Congenital_Hydrocephalus	Congenital Hydrocephalus (NRNT)	Hydrocephalus
Systemic_Arterial_Hypertensive_Disorder	Hypertensive Disorder, Systemic Arterial (NRNT)	Hypertension
Portal_Hypertension	Portal Hypertension (NRNT)	Hypertension
Pregnancy_Associated_Hypertension	Pregnancy Induced Hypertension (PEDS+NRNT)	Hypertension
Pulmonary_Hypertension	Pulmonary Hypertension (NRNT)	Hypertension
Fever	Fever (PEDS)	Hyperthermia
Benign_Congenital_Hypotonia	Benign Congenital Hypotonia (NRNT)	Hypotonia
Cesarean_Hysterectomy	Caesarean Hysterectomy (PEDS)	Hysterectomy
Immature_Retinal_Vasculature_in_Zone_1	Immature Retinal Vasculature in Zone 1 (NRNT)	Immature_Retinal_Vasculature
Immature_Retinal_Vasculature_in_Zone_2	Immature Retinal Vasculature in Zone 2 (NRNT)	Immature_Retinal_Vasculature
Immature_Retinal_Vasculature_in_Zone_3	Immature Retinal Vasculature in Zone 3 (NRNT)	Immature_Retinal_Vasculature
Autoimmune_Disease	Autoimmune Disease (NRNT)	Immune_System_Disorder
Immunodeficiency_Syndrome	Primary Immune Deficiency Disorder (NRNT)	Immune_System_Disorder
Varicella_Zoster_Virus_Immunization	Chickenpox Immunization (PEDS)	Immunization
Influenza_Vaccination	Influenza Vaccination (PEDS)	Immunization
Polio_Vaccination	Polio Vaccination (PEDS)	Immunization
Rubella_Immunization	Rubella Immunization (PEDS)	Immunization
Hepatitis_A_Vaccine	Hepatitis A Vaccine (PEDS)	Inactivated_Vaccine
Inactivated_Poliovirus_Vaccine	Inactivated Poliovirus Vaccine (PEDS)	Inactivated_Vaccine
Three-Methylglutaconic_Aciduria_Type_1	3-Methylglutaconic Aciduria Type 1 (NRNT)	Inborn_Errors_of_Metabolism
Primary_Carnitine_Deficiency	Carnitine Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Congenital_Hypothyroidism	Congenital Hypothyroidism (PEDS+NRNT)	Inborn_Errors_of_Metabolism
Amino_Acid_Metabolism_Disorder	Disorder of Amino Acid Metabolism (NRNT)	Inborn_Errors_of_Metabolism
Hepatolenticular_Degeneration	Disorder of Copper Metabolism (NRNT)	Inborn_Errors_of_Metabolism
Lipid_Metabolism_Disorder	Disorder of Fatty Acid Metabolism (NRNT)	Inborn_Errors_of_Metabolism
Lysosomal_Storage_Disease	Disorder of Lysosomal Enzyme (NRNT)	Inborn_Errors_of_Metabolism
Organic_Acid_Metabolism_Disorder	Disorder of Organic Acid Metabolism (NRNT)	Inborn_Errors_of_Metabolism
Peroxisomal_Disorder	Disorder of Peroxisomal Function (NRNT)	Inborn_Errors_of_Metabolism
Inborn_Urea_Cycle_Disorder	Disorder of the Urea Cycle Metabolism (NRNT)	Inborn_Errors_of_Metabolism
Hereditary_Fructose_Intolerance	Fructose-1,6-Bisphosphate Aldolase B Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Galactosemia	Galactosemia (NRNT)	Inborn_Errors_of_Metabolism
Glutaric_Acidemia_Type_2	Glutaric Aciduria, Type 2 (NRNT)	Inborn_Errors_of_Metabolism
Glycogen_Storage_Disease	Glycogen Storage Disease (NRNT)	Inborn_Errors_of_Metabolism
Hemochromatosis	Hemochromatosis (NRNT)	Inborn_Errors_of_Metabolism
Hereditary_Orotic_Aciduria	Hereditary Orotic Aciduria (NRNT)	Inborn_Errors_of_Metabolism
High_Molecular_Weight_Kininogen_Deficiency	High Molecular Weight Kininogen Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Acyl-CoA_Dehydrogenase_Long-Chain_Deficiency	Long Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Acyl-CoA_Dehydrogenase_Medium-Chain_Deficiency	Medium-Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Metabolic_Myopathy	Metabolic Myopathy (NRNT)	Inborn_Errors_of_Metabolism
Methylmalonic_Acidemia	Methylmalonic Acidemia (NRNT)	Inborn_Errors_of_Metabolism
Neonatal_Adrenoleukodystrophy	Neonatal Adrenoleukodystrophy (NRNT)	Inborn_Errors_of_Metabolism
Neonatal_Hyperbilirubinemia	Neonatal Hyperbilirubinemia (NRNT)	Inborn_Errors_of_Metabolism
Hartnup_Disease	Neutral 1 Amino Acid Transport Defect (NRNT)	Inborn_Errors_of_Metabolism
Prekallikrein_Deficiency	Prekallikrein Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Transferase_Deficient_Galactosemia	Transferase Deficient Galactosemia (PEDS)	Inborn_Errors_of_Metabolism
Acyl-CoA_Dehydrogenase_Very_Long-Chain_Deficiency	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Inborn_Errors_of_Metabolism
Wolman_Disease	Wolman's Disease (NRNT)	Inborn_Errors_of_Metabolism
Carbamoyl-Phosphate_Synthetase_I_Deficiency	Carbamoyl Phosphate Synthetase Deficiency (NRNT)	Inborn_Urea_Cycle_Disorder
Citrullinemia	Citrullinemia (NRNT)	Inborn_Urea_Cycle_Disorder
Ornithine_Carbamoyltransferase_Deficiency_Disease	Ornithine Carbamoyltransferase Deficiency (NRNT)	Inborn_Urea_Cycle_Disorder
No	No (PEDS)	Indicator
Pass	Pass (PEDS)	Indicator
Yes	Yes (PEDS)	Indicator
Hysterotomy_Abortion	Hysterotomy Abortion (PEDS)	Induced_Abortion_Procedure
Artificial_Rupture_of_Membrane	Artificial Rupture of Membrane (PEDS)	Induction_of_Labor
Drug_Induced_Induction_of_Labor	Drug Induced Induction of Labor (PEDS)	Induction_of_Labor
Stripping_of_Membrane	Stripping of Membrane (PEDS)	Induction_of_Labor
Grasp_Reflex	Grasp Reflex (PEDS)	Infant_Reflex
Moro_Reflex	Moro Reflex (PEDS+NRNT)	Infant_Reflex
Rooting_Reflex	Rooting Reflex (PEDS)	Infant_Reflex
Step_Reflex	Step Reflex (PEDS+NRNT)	Infant_Reflex
Sucking_Reflex	Sucking Reflex (PEDS+NRNT)	Infant_Reflex
Tonic_Neck_Reflex	Tonic Neck Reflex (PEDS+NRNT)	Infant_Reflex
Spinal_Cord_Infarction	Infarction of Spinal Cord (NRNT)	Infarction
Myocardial_Infarction	Myocardial Infarction (NRNT)	Infarction
Acute_Appendicitis	Appendicitis (NRNT)	Infectious_Disorder
Bacterial_Infection	Bacterial Disease (PEDS)	Infectious_Disorder
Skin_Infection	Infection of Skin (NRNT)	Infectious_Disorder
Central_Nervous_System_Infectious_Disorder	Infectious Disease of Central Nervous System (NRNT)	Infectious_Disorder
Meconium_Peritonitis	Meconium Peritonitis (NRNT)	Infectious_Disorder
Meningitis	Meningitis (PEDS+NRNT)	Infectious_Disorder
Mucocutaneous_Candidiasis	Mucocutaneous Candidiasis (NRNT)	Infectious_Disorder
Neonatal_Infectious_Disorder	Neonatal Infectious Disorder (NRNT)	Infectious_Disorder
Parasitic_Infection	Parasitic Disease (PEDS)	Infectious_Disorder
Sinusitis	Sinus Infection (PEDS)	Infectious_Disorder
TORCH_Syndrome	Toxoplasmosis, Other Infections, Rubella, Cytomegalovirus, and Herpes Simplex Virus (Torch) Syndrome (NRNT)	Infectious_Disorder
Urinary_Tract_Infection	Urinary Tract Infection (PEDS+NRNT)	Infectious_Disorder
Varicella_Zoster_Infection	Varicella-Zoster Virus Infection (NRNT)	Infectious_Disorder
Viral_Infection	Viral Disease (PEDS)	Infectious_Disorder
Swine_Influenza	H1N1 Influenza (PEDS)	Influenza
Neonatal_Birth_Trauma	Birth Trauma of Fetus (NRNT)	Injury
Fracture	Fracture of Bone (NRNT)	Injury
Head_Injury	Injury of Head (NRNT)	Injury
Skin_Injury	Injury of Integument (NRNT)	Injury
Connective_and_Soft_Tissue_Injury	Injury of Musculoskeletal System (NRNT)	Injury
Pneumomediastinum	Mediastinal Emphysema (NRNT)	Injury
Intentional_Trauma	Nonaccidental Trauma (NRNT)	Injury
Recurrent_Laryngeal_Nerve_Injury	Recurrent Laryngeal Nerve Injury (NRNT)	Injury
Neonatal_Acrocyanosis	Neonatal Acrocyanosis (NRNT)	Integumentary_System_Finding
Colonic_Fistula	Large Bowel Fistula (NRNT)	Intestinal_Fistula
In_Utero_Bowel_Perforation	In Utero Bowel Perforation (NRNT)	Intestinal_Perforation
Ileal_Perforation	Perforation of Ileum (NRNT)	Intestinal_Perforation
Cerebral_Arterial_Aneurysm	Cerebral Arterial Aneurysm (NRNT)	Intracranial_Aneurysm
Cerebral_Venous_Aneurysm	Cerebral Venous Aneurysm (NRNT)	Intracranial_Aneurysm
Cerebrovascular_Accident	Cerebrovascular Accident (NRNT)	Intracranial_Hemorrhage
Extradural_Hemorrhage	Epidural Hemorrhage (NRNT)	Intracranial_Hemorrhage
Intraventricular_Brain_Hemorrhage	Intraventricular Hemorrhage (PEDS)	Intracranial_Hemorrhage
Subarachnoid_Hemorrhage	Subarachnoid Hemorrhage (NRNT)	Intracranial_Hemorrhage
Subdural_Hemorrhage	Subdural Hemorrhage (NRNT)	Intracranial_Hemorrhage
Cervical_Dilation	Cervical Dilation (PEDS)	Intrapartum_Process
Cervical_Effacement	Cervical Effacement (PEDS)	Intrapartum_Process
Birthing_Labor	Labor (PEDS)	Intrapartum_Process
Passing_of_Mucus_Plug	Passing of Mucus Plug (PEDS)	Intrapartum_Process
Physiologic_Lightening	Physiologic Lightening (PEDS)	Intrapartum_Process
Rupture_of_Membrane	Rupture of Membrane (PEDS)	Intrapartum_Process
Uterine_Contraction	Uterine Contraction (PEDS)	Intrapartum_Process
Contraceptive_Coil	Contraceptive Coil (PEDS)	Intrauterine_Device
Intraventricular_Hemorrhage_of_the_Newborn_Grade_1	Intraventricular (Nontraumatic) Hemorrhage, Grade 1, of Fetus and Newborn (NRNT)	Intraventricular_Brain_Hemorrhage
Intraventricular_Hemorrhage_of_the_Newborn_Grade_2	Intraventricular (Nontraumatic) Hemorrhage, Grade 2, of Fetus and Newborn (NRNT)	Intraventricular_Brain_Hemorrhage
Intraventricular_Hemorrhage_of_the_Newborn_Grade_3	Intraventricular (Nontraumatic) Hemorrhage, Grade 3, of Fetus and Newborn (NRNT)	Intraventricular_Brain_Hemorrhage
Perinatal_Intraventricular_Hemorrhage	Perinatal Intraventricular Hemorrhage (NRNT)	Intraventricular_Brain_Hemorrhage
Subgaleal_Hemorrhage	Subgaleal Hemorrhage (NRNT)	Intraventricular_Brain_Hemorrhage
Neonatal_Jaundice	Neonatal Jaundice (NRNT)	Jaundice
Inspissated_Bile_Syndrome	Perinatal Jaundice due to Inspissated Bile Syndrome (NRNT)	Jaundice
Lacrimal_Mucocele	Lacrimal Mucocele (NRNT)	Lacrimal_System_Disorder
Central_Auditory_Processing_Disorder	Central Auditory Processing Disorder (PEDS)	Language_Disorder
Dyscalculia	Dyscalculia (PEDS)	Learning_Disorder
Dyslexia	Dyslexia (PEDS)	Learning_Disorder
Head_Circumference	Head Circumference (PEDS+NRNT)	Length
Total_Body_Length	Total Body Length (PEDS)	Length
Transient_Leukemoid_Reaction_of_the_Newborn	Leukemoid Reaction of the Newborn (NRNT)	Leukemoid_Reaction
Childhood	Child Life Stage (PEDS)	Life_Stage
Maternal_Life_Stage	Maternal Life Stage (PEDS)	Life_Stage
Gaucher_Disease	Glucosylceramide Beta-Glucosidase Deficiency (NRNT)	Lipid_Metabolism_Disorder
Niemann-Pick_Disease	Sphingomyelin/Cholesterol Lipidosis (NRNT)	Lipid_Metabolism_Disorder
Skin_Ulcer	Skin Necrosis (NRNT)	Localized_Skin_Lesion
Chronic_Lung_Disorder	Chronic Lung Disease (NRNT)	Lung_Disorder
Interstitial_Emphysema	Interstitial Emphysema of Lung (NRNT)	Lung_Disorder
Pneumonia	Pneumonia (PEDS)	Lung_Disorder
Fabry_Disease	Fabry's Disease (NRNT)	Lysosomal_Storage_Disease
Fucosidosis	Fucosidosis (NRNT)	Lysosomal_Storage_Disease
Mannosidosis	Mannosidosis (NRNT)	Lysosomal_Storage_Disease
Penile_Agenesis	Congenital Absence of Penis (NRNT)	Male_Reproductive_System_Disorder
Penoscrotal_Transposition	Congenital Penoscrotal Transposition (NRNT)	Male_Reproductive_System_Disorder
Deficiency_of_Testosterone_Biosynthesis	Deficiency of Testosterone Biosynthesis (NRNT)	Male_Reproductive_System_Disorder
Hypospadias	Hypospadias (NRNT)	Male_Reproductive_System_Disorder
Mullerian_Inhibiting_Substance_Deficiency	Mullerian Inhibiting Factor Deficiency (NRNT)	Male_Reproductive_System_Disorder
Testicular_Torsion	Torsion of Testis (NRNT)	Male_Reproductive_System_Disorder
Undescended_Testis	Undescended Testis (PEDS+NRNT)	Male_Reproductive_System_Disorder
Maternal_Postnatal_Life_Stage	Postnatal Stage (PEDS)	Maternal_Life_Stage
Maternal_Preconception_Life_Stage	Preconception Stage (PEDS)	Maternal_Life_Stage
Maternal_Prenatal_Life_Stage	Prenatal Stage (PEDS)	Maternal_Life_Stage
Neonatal_Withdrawal_Syndrome	Drug Withdrawal Syndrome In Newborn (NRNT)	Maternal_Transmission
Fetal_Alcohol_Spectrum_Disorder	Fetal Alcohol Spectrum Disorder (PEDS+NRNT)	Maternal_Transmission
Fetal_Hydantoin_Syndrome	Fetal Hydantoin Syndrome (NRNT)	Maternal_Transmission
Fetal_Methotrexate_Syndrome	Fetal Methotrexate Syndrome (NRNT)	Maternal_Transmission
Fetal_Valproate_Syndrome	Fetal Valproate Syndrome (NRNT)	Maternal_Transmission
Fetal_Warfarin_Syndrome	Fetal Warfarin Syndrome (NRNT)	Maternal_Transmission
Fetal_Retinoid_Syndrome	Retinoic Acid Embryopathy (NRNT)	Maternal_Transmission
Measuring_Tape	Measuring Tape (PEDS)	Measurement_Device
Vernier_Caliper	Vernier Caliper (PEDS)	Measurement_Device
Lasso-O_Measuring_Tape	Lasso-O Measuring Tape (PEDS)	Measuring_Tape
Infectious_Meningitis	Infective Meningitis (NRNT)	Meningitis
Cervical_Meningocele	Cervical Meningocele (NRNT)	Meningocele
Lumbar_Meningocele	Lumbar Meningocele (NRNT)	Meningocele
Sacral_Meningocele	Sacral Meningocele (NRNT)	Meningocele
Thoracic_Meningocele	Thoracic Meningocele (NRNT)	Meningocele
Inborn_Errors_of_Metabolism	Congenital Metabolic Disorder (PEDS+NRNT)	Metabolic_Disorder
Carbohydrate_Metabolism_Disorder	Disorder of Carbohydrate Metabolism (NRNT)	Metabolic_Disorder
Type_IIb_Hyperlipoproteinemia	Disorder of Cholesterol Synthesis (NRNT)	Metabolic_Disorder
Electrolyte_Disorder	Disorder of Electrolytes (NRNT)	Metabolic_Disorder
Metabolic_Bone_Disorder	Metabolic Bone Disease (NRNT)	Metabolic_Disorder
Enzyme_Deficiency	Specific Enzyme Deficiency (NRNT)	Metabolic_Disorder
Mitochondrial_Myopathy	Mitochondrial Myopathy (NRNT)	Metabolic_Myopathy
Artificial_Insemination	Artificial Insemination (PEDS)	Method_of_Conception
Embryo_Transfer	Embryo Transfer (PEDS)	Method_of_Conception
Fertilization	Fertilization (PEDS)	Method_of_Conception
in_vitro_Fertilization	In Vitro Fertilization (PEDS)	Method_of_Conception
Bilateral_Microphthalmos	Microphthalmos, Bilateral (NRNT)	Microphthalmos
Unilateral_Microphthalmos	Microphthalmos, Unilateral (NRNT)	Microphthalmos
Histiocytosis	Histiocytic Syndrome (NRNT)	Morphologic_Finding
Extramedullary_Hematopoiesis	Skin Discoloration Consistent  with Extramedullary Hematopoeis (NRNT)	Morphologic_Finding
Reflex	Reflex (NRNT)	Motor_Manifestations
Vocal_Cord_Paralysis	Vocal Cord Palsy (NRNT)	Motor_Manifestations
Sanfilippo_Syndrome	Deficiency of Acetyl-CoA Acyltransferase (NRNT)	Mucopolysaccharidosis
Walker-Warburg_Syndrome	Walker-Warburg Muscular Dystrophy (NRNT)	Muscular_Dystrophy
Cervical_Myelocele	Cervical Myelocele (NRNT)	Myelocele
Lumbar_Myelocele	Lumbar Myelocele (NRNT)	Myelocele
Sacral_Myelocele	Sacral Myelocele (NRNT)	Myelocele
Thoracic_Myelocele	Thoracic Myelocele (NRNT)	Myelocele
Cervical_Myelomeningocele	Cervical Meningomyelocele (NRNT)	Myelomeningocele
Lumbar_Myelomeningocele	Lumbar Myelomeningocele (NRNT)	Myelomeningocele
Sacral_Myelomeningocele	Sacral Myelomeningocele (NRNT)	Myelomeningocele
Thoracic_Myelomeningocele	Thoracic Myelomeningocele (NRNT)	Myelomeningocele
Cardiomyopathy	Cardiomyopathy (NRNT)	Myopathy
Metabolic_Myopathy	Metabolic Myopathy (NRNT)	Myopathy
Myotonic_Dystrophy	Myotonic Dystrophy (NRNT)	Myotonic_Disorder
Suspected_Necrotizing_Enterocolitis	Suspected Necrotizing Enterocolitis (NRNT)	Necrotizing_Enterocolitis
Neonatal_Opiate_Withdrawal_Syndrome	Neonatal Opiate Withdrawal Syndrome (NRNT)	Neonatal_Abstinence_Syndrome
Finnegan_Score_Measurement	Finnegan Score Measurement (PEDS)	Neonatal_Abstinence_Syndrome_Assessment
Brachial_Plexus_Injury_due_to_Birth_Trauma	Brachial Plexus Palsy due to Birth Trauma (NRNT)	Neonatal_Birth_Trauma
Fracture_of_Clavicle_due_to_Birth_Trauma	Fracture of Clavicle due to Birth Trauma (NRNT)	Neonatal_Birth_Trauma
Fracture_of_Long_Bone_due_to_Birth_Trauma	Fracture of Long Bone due to Birth Trauma (NRNT)	Neonatal_Birth_Trauma
Fracture_of_Skull_due_to_Birth_Trauma	Fracture of Skull due to Birth Trauma (NRNT)	Neonatal_Birth_Trauma
Spinal_Cord_Infarct_during_Birth	Spinal Cord Infarct During Birth (NRNT)	Neonatal_Birth_Trauma
Spinal_Injury_due_to_Birth_Trauma	Spine or Spinal Cord Injury due to Birth Trauma (NRNT)	Neonatal_Birth_Trauma
Breast_Milk_Jaundice	Neonatal Jaundice due to Delayed Conjugation From Breast Milk Inhibitors (NRNT)	Neonatal_Jaundice
Neonatal_Respiratory_Distress_Syndrome	Neonatal Respiratory Distress Syndrome (PEDS+NRNT)	Neonatal_Respiratory_System_Disorder
Transient_Tachypnea_of_the_Newborn	Transitory Tachypnea of Newborn (NRNT)	Neonatal_Respiratory_System_Disorder
Neonatal_Abstinence_Syndrome	Neonatal Abstinence Syndrome (PEDS+NRNT)	Neonatal_Withdrawal_Syndrome
Cervical_Carcinoma	Cervical Carcinoma (PEDS)	Neoplasm
Cervical_Intraepithelial_Neoplasia	Cervical Intraepithelial Neoplasia (PEDS)	Neoplasm
Lymphangiomatosis	Congenital Lymphangioma (NRNT)	Neoplasm
Congenital_Melanocytic_Skin_Nevus	Congenital Pigmented Melanocytic Nevus (NRNT)	Neoplasm
Cystic_Lymphangioma	Cystic Hygroma (PEDS+NRNT)	Neoplasm
Germ_Cell_Neoplasm	Germ Cell Tumor (NRNT)	Neoplasm
Hemangioendothelioma	Hemangioendothelioma (NRNT)	Neoplasm
Hemangioma	Hemangioma (PEDS+NRNT)	Neoplasm
Hematopoietic_Cell_Neoplasm	Hematologic Neoplasm (NRNT)	Neoplasm
Hepatoblastoma	Hepatoblastoma (NRNT)	Neoplasm
Langerhans_Cell_Histiocytosis	Hystocytosis (NRNT)	Neoplasm
Lipoma	Lipoma (NRNT)	Neoplasm
Lymphangioma	Lymphangioma (NRNT)	Neoplasm
Malignant_Neoplasm	Malignant Neoplastic Disease (NRNT)	Neoplasm
Malignant_Renal_Neoplasm	Malignant Tumor of Kidney Parenchyma (NRNT)	Neoplasm
Bone_Marrow_Neoplasm	Neoplasm of Bone Marrow (NRNT)	Neoplasm
Cardiac_Neoplasm	Neoplasm of Heart (NRNT)	Neoplasm
Nervous_System_Neoplasm	Neoplasm of Nervous System (NRNT)	Neoplasm
Renal_Wilms_Tumor	Nephroblastoma (NRNT)	Neoplasm
Neuroendocrine_Neoplasm	Neuroendocrine Tumor (NRNT)	Neoplasm
Polycythemia_Vera	Polycythemia Vera (NRNT)	Neoplasm
Primary_Malignant_Neoplasm	Primary Malignant Neoplasm (NRNT)	Neoplasm
Malignant_Eye_Neoplasm	Primary Malignant Neoplasm of Eye (NRNT)	Neoplasm
Primary_Malignant_Neoplasm_of_Liver	Primary Malignant Neoplasm of Liver (NRNT)	Neoplasm
Retinoblastoma	Retinoblastoma (NRNT)	Neoplasm
Rhabdomyoma	Rhabdomyomatous Neoplasm (NRNT)	Neoplasm
Rhabdomyosarcoma	Rhabdomyosarcoma (NRNT)	Neoplasm
Sacrococcygeal_Teratoma	Sacrococcygeal Teratoma (NRNT)	Neoplasm
Sarcoma_of_the_Soft_Tissue_and_Bone	Sarcoma (NRNT)	Neoplasm
Gonadal_Teratoma	Teratoma, Gonads (NRNT)	Neoplasm
Congenital_Nephrotic_Syndrome	Congenital Nephrotic Syndrome (NRNT)	Nephrotic_Syndrome
Acquired_Phrenic_Nerve_Injury	Acquired Phrenic Nerve Injury (NRNT)	Nervous_System_Disorder
Central_Nervous_System_Disorder	Central Nervous System Disorder (PEDS+NRNT)	Nervous_System_Disorder
Cerebral_Palsy	Cerebral Palsy (PEDS)	Nervous_System_Disorder
Congenital_Phrenic_Nerve_Injury	Congenital Phrenic Nerve Injury (NRNT)	Nervous_System_Disorder
Congenital_Phrenic_Nerve_Palsy	Congenital Phrenic Nerve Palsy (NRNT)	Nervous_System_Disorder
Cranial_Nerve_Disorder	Cranial Nerve Disorder (NRNT)	Nervous_System_Disorder
Demyelinating_Disorder	Demyelinating Disorder (PEDS)	Nervous_System_Disorder
Peripheral_Nervous_System_Disorder	Disorder of the Peripheral Nervous System (NRNT)	Nervous_System_Disorder
Facial_Nerve_Paralysis	Facial Palsy (NRNT)	Nervous_System_Disorder
